## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
20299	Outbrain: P - b/fix credit Android Non-Push	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20304	Google: NB - Credit Repair Exact v2	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20306	Outbrain: P - b/fix credit Android tROAS	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20307	Verizon: P - Five Category KW	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20343	Basis:R-DN-CRSignupPages-Vcreative	Online - PPC Display Retargeting	Display	CreditRepair	Display - Retargeting	Other	Other	nan	nan
20344	Verizon: P - Five Category KW - Education LP	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20345	Verizon: P-FiveCategoryKW-Creative-HP	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20356	Basis:R-DN-CRSignupPages-$50off	Online - PPC Display Retargeting	Display	CreditRepair	Display - Retargeting	Other	Other	nan	nan
20360	Verizon: P-LAL.CRCS-Creative-HP	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20365	TCS: P - Dynamic HL	Online - PPC Display Prospecting	Display	CreditRepair	Display - Prospecting	Other	Other	nan	nan
20428	Verizon: P - CS LP Test	Online - PPC Display Prospecting	Display	CreditRepair	Display - Prospecting	Other	Other	nan	nan
20433	Verizon: P - Five Category KW - Fix Credit LP	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20441	Social Media-31	Online - Social Media	Paid Social	CreditRepair	Other	Other	Other	nan	nan
20443	Social Media-33	Online - Social Media	Paid Social	CreditRepair	Other	Other	Other	nan	nan
20444	Social Media-34	Online - Social Media	Paid Social	CreditRepair	Other	Other	Other	nan	nan
20445	Social Media-35	Online - Social Media	Paid Social	CreditRepair	Other	Other	Other	nan	nan
20448	Social Media-38	Online - Social Media	Paid Social	CreditRepair	Other	Other	Other	nan	nan
20467	Google: NB: CR Fix Credit	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20468	Google: NB: CR Credit Building	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20471	Google: CR NB - Credit Repair Exact - Desktop	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20489	Bliss - Publisher 1155	Online - PPC Bliss Media	Email Marketing	CreditRepair	Bliss Media	Other	Other	nan	nan
20510	Dianomi:P-N-GeneralCS-Creative	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20512	LiveIntent: P-D-GeneralCS-Creative	Online - PPC Display Prospecting	Display	CreditRepair	Display - Prospecting	Other	Other	nan	nan
20699	DotDash - Online Affiliate -Investopedia 	Online - Affiliate Invoca	Affiliate	CreditRepair	Other	Other	Other	nan	nan
20725	NorCal Marketing - Affiliate- Review Site Mysanantonio.com	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
20726	NorCal Marketing - Affiliate- Review Site Sfgate.com	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
20742	Google: NB High CPA - Fix Credit	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20747	Google: P - TCS Gmail Retargeting	Online - PPC Display Prospecting	Display	CreditRepair	Display - Prospecting	Other	Other	nan	nan
20755	Facebook: Credit Scale	Online - PPC Social Prospecting	Paid Social	CreditRepair	Other	Other	Other	nan	nan
20758	Basis:P-DN-BT(InMarketRepairMonitoring)-Vcreative	Online - PPC Display Prospecting	Display	CreditRepair	Display - Prospecting	Other	Other	nan	nan
20762	Verizon: 40PT - Android only RON	Online - PPC Display Prospecting	Display	CreditRepair	Display - Prospecting	Other	Other	nan	nan
20789	CR_RMKTG_SFMC_FOG_4 - Retired	Remarketing - FOG Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
20803	Verizon: P-N-FiveCategoryKW-Creative-CS	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20804	Verizon: P-N-LAL.CRCS-Creative-CS	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20806	Verizon: P - RON - CS LP	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20874	Interactive Offers: P -- Native Test	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20877	Pushnami: P- Push:Score&Summary;	Online - PPC Display Prospecting	Display	CreditRepair	Display - Prospecting	Other	Other	nan	nan
20891	Google: NB - Dispute Credit - Dispute Errors	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20892	Google: NB - Remove Collections - KW and Free Report	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20893	Google: NB - Clean Credit Score - KW and Free Report	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20926	FalloutGroup Direct Mail	Remarketing - FOG Direct Mail	Remarketing	CreditRepair	Other	Other	Other	nan	nan
20927	CreditView Direct Mail	Remarketing - CV Direct Mail	Remarketing	CreditRepair	Other	Other	Other	nan	nan
20929	FormerClient Direct Mail	Remarketing - FC Direct Mail	e5	CreditRepair	Other	Other	Other	nan	nan
20936	CR_RMKTG_Kaleyra_CRAS_0-10	Remarketing - CV SMS	Remarketing	CreditRepair	Other	Other	Other	nan	nan
21018	CR General | TKW | Fix Credit - How To Fix Credit 1 - Mobile 	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
21019	CR General | TKW | Fix Credit - How To Fix Credit 1 - Desktop	Online - PPC Other	Paid Search - Non-Brand	CreditRepair	Other	Other	Other	nan	nan
21020	CR General | TKW | Fix Credit - Fix Credit 1 - Mobile	Online - PPC Other	Paid Search - Non-Brand	CreditRepair	Other	Other	Other	nan	nan
