## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
3879	OpenRoad Lending - online	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3889	Google: NBrand Desktop - Build Credit 2	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
3897	Google: Brand Desktop - LEX Credit Repair 1	Online - PPC Google BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Google	nan	nan
3898	Google: Brand Mobile - LEX Credit Repair 1	Online - PPC Google BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Google	nan	nan
3941	Gemini: Brand Desktop - LEX 1	Online - PPC Gemini BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Other	nan	nan
3958	Gemini: NBrand Desktop - Credit Bureaus 1	Online - PPC Gemini NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Other	nan	nan
3969	Gemini: NBrand Desktop - Credit Repair 1 - Non CR	Online - PPC Gemini NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Other	nan	nan
4089	Consumers Advocate Group - Ad Practitioners, LLC	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
4136	Patchwork Tech - CreditRepairReview.com	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
4233	Credit.com - DFP intent (advice)	Credit.com - Intent	Intent	LexingtonLaw	Other	Other	Other	nan	nan
4245	Display - About Us Video	Brand - Direct Legacy	Direct	LexingtonLaw	Other	Other	Other	nan	nan
4250	Credit.com - Errors on Credit Report blog	Credit.com - Blog	Blog	LexingtonLaw	Other	Other	Other	nan	nan
4320	Credit.com - Adroll	Credit.com	Freemium & Email	LexingtonLaw	Other	Other	Other	nan	nan
4321	Credit.com - Outbrain Mobile	Credit.com	Freemium & Email	LexingtonLaw	Other	Other	Other	nan	nan
4322	Online - PPC Display New38	Online - PPC Display Other	Display	LexingtonLaw	Other	Native	Native	nan	nan
4324	Credit.com - Intent Callouts	Credit.com - Intent	Intent	LexingtonLaw	Other	Other	Other	nan	nan
4332	Credit.com - lexington law review (in text links)	Credit.com - Intent	Intent	LexingtonLaw	Other	Other	Other	nan	nan
4334	Credit.com - JH Mobile	Credit.com - CRC	Freemium & Email	LexingtonLaw	Other	Other	Other	nan	nan
4337	Credit.com - Email Test Home Page	Credit.com - Email	Freemium & Email	LexingtonLaw	Other	Other	Other	nan	nan
4348	OneUnited - Unity Card (CCOM Aff)	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
4354	James Kirby	Financial - Other	Finance Mortgage	LexingtonLaw	Other	Other	Other	nan	nan
4413	Google: NBrand Desktop - Google_Search_Gamma	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
4414	Google: NBrand Mobile - Google_Search_Gamma	Online - PPC Google NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
4499	Partner Lead Email 2	Lead Gen - Remarketing	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
4525	Credit.com - INTENT Credit Repair in-text test	Credit.com - Intent	Intent	LexingtonLaw	Other	Other	Other	nan	nan
